idProject;refType;refId;idResource;rate
36;Activity;700;194;100
36;Activity;700;180;100
36;Activity;700;119;100
36;Activity;700;90;100
36;Activity;700;87;100
36;Activity;700;77;100
36;Activity;700;66;100
36;Activity;700;53;100
36;Activity;700;47;100
36;Activity;700;42;100
36;Activity;700;40;100
36;Activity;700;39;100
36;Activity;700;34;100
36;Activity;700;22;100
36;Activity;700;20;100
36;Activity;701;267;100
36;Activity;701;257;100
36;Activity;701;255;100
36;Activity;701;229;100
36;Activity;701;227;100
36;Activity;701;202;100
36;Activity;701;200;100
36;Activity;701;199;100
36;Activity;701;197;100
36;Activity;701;195;100
36;Activity;701;194;100
36;Activity;701;180;100
36;Activity;701;119;100
36;Activity;701;90;100
36;Activity;701;87;100
36;Activity;701;77;100
36;Activity;701;66;100
36;Activity;701;53;100
36;Activity;701;47;100
36;Activity;701;42;100
36;Activity;701;40;100
36;Activity;701;39;100
36;Activity;701;34;100
36;Activity;701;22;100
36;Activity;701;20;100
36;Activity;702;267;100
36;Activity;702;257;100
36;Activity;702;255;100
36;Activity;702;229;100
36;Activity;702;227;100
36;Activity;702;202;100
36;Activity;702;200;100
36;Activity;702;199;100
36;Activity;702;197;100
36;Activity;702;195;100
36;Activity;702;194;100
36;Activity;702;180;100
36;Activity;702;119;100
36;Activity;702;90;100
36;Activity;702;87;100
36;Activity;702;77;100
36;Activity;702;66;100
36;Activity;702;53;100
36;Activity;702;47;100
36;Activity;702;42;100
36;Activity;702;40;100
36;Activity;702;39;100
36;Activity;702;34;100
36;Activity;702;22;100
36;Activity;702;20;100
36;Activity;703;267;100
36;Activity;703;257;100
36;Activity;703;255;100
36;Activity;703;229;100
36;Activity;703;227;100
36;Activity;703;202;100
36;Activity;703;200;100
36;Activity;703;199;100
36;Activity;703;197;100
36;Activity;703;195;100
36;Activity;703;194;100
36;Activity;703;180;100
36;Activity;703;119;100
36;Activity;703;90;100
36;Activity;703;87;100
36;Activity;703;77;100
36;Activity;703;66;100
36;Activity;703;53;100
36;Activity;703;47;100
36;Activity;703;42;100
36;Activity;703;40;100
36;Activity;703;39;100
36;Activity;703;34;100
36;Activity;703;22;100
36;Activity;703;20;100
36;Activity;704;267;100
36;Activity;704;257;100
36;Activity;704;255;100
36;Activity;704;229;100
36;Activity;704;227;100
36;Activity;704;202;100
36;Activity;704;200;100
36;Activity;704;199;100
36;Activity;704;197;100
36;Activity;704;195;100
36;Activity;704;194;100
36;Activity;704;180;100
36;Activity;704;119;100
36;Activity;704;90;100
36;Activity;704;87;100
36;Activity;704;77;100
36;Activity;704;66;100
36;Activity;704;53;100
36;Activity;704;47;100
36;Activity;704;42;100
36;Activity;704;40;100
36;Activity;704;39;100
36;Activity;704;34;100
36;Activity;704;22;100
36;Activity;704;20;100
36;Activity;705;267;100
36;Activity;705;257;100
36;Activity;705;255;100
36;Activity;705;229;100
36;Activity;705;227;100
36;Activity;705;202;100
36;Activity;705;200;100
36;Activity;705;199;100
36;Activity;705;197;100
36;Activity;705;195;100
36;Activity;705;194;100
36;Activity;705;180;100
36;Activity;705;119;100
36;Activity;705;90;100
36;Activity;705;87;100
36;Activity;705;77;100
36;Activity;705;66;100
36;Activity;705;53;100
36;Activity;705;47;100
36;Activity;705;42;100
36;Activity;705;40;100
36;Activity;705;39;100
36;Activity;705;34;100
36;Activity;705;22;100
36;Activity;705;20;100
36;Activity;706;267;100
36;Activity;706;257;100
36;Activity;706;255;100
36;Activity;706;229;100
36;Activity;706;227;100
36;Activity;706;202;100
36;Activity;706;200;100
36;Activity;706;199;100
36;Activity;706;197;100
36;Activity;706;195;100
36;Activity;706;194;100
36;Activity;706;180;100
36;Activity;706;119;100
36;Activity;706;90;100
36;Activity;706;87;100
36;Activity;706;77;100
36;Activity;706;66;100
36;Activity;706;53;100
36;Activity;706;47;100
36;Activity;706;42;100
36;Activity;706;40;100
36;Activity;706;39;100
36;Activity;706;34;100
36;Activity;706;22;100
36;Activity;706;20;100
36;Activity;707;267;100
36;Activity;707;257;100
36;Activity;707;255;100
36;Activity;707;229;100
36;Activity;707;227;100
36;Activity;707;202;100
36;Activity;707;200;100
36;Activity;707;199;100
36;Activity;707;197;100
36;Activity;707;195;100
36;Activity;707;194;100
36;Activity;707;180;100
36;Activity;707;119;100
36;Activity;707;90;100
36;Activity;707;87;100
36;Activity;707;77;100
36;Activity;707;66;100
36;Activity;707;53;100
36;Activity;707;47;100
36;Activity;707;42;100
36;Activity;707;40;100
36;Activity;707;39;100
36;Activity;707;34;100
36;Activity;707;22;100
36;Activity;707;20;100
36;Activity;708;267;100
36;Activity;708;257;100
36;Activity;708;255;100
36;Activity;708;229;100
36;Activity;708;227;100
36;Activity;708;202;100
36;Activity;708;200;100
36;Activity;708;199;100
36;Activity;708;197;100
36;Activity;708;195;100
36;Activity;708;194;100
36;Activity;708;180;100
36;Activity;708;119;100
36;Activity;708;90;100
36;Activity;708;87;100
36;Activity;708;77;100
36;Activity;708;66;100
36;Activity;708;53;100
36;Activity;708;47;100
36;Activity;708;42;100
36;Activity;708;40;100
36;Activity;708;39;100
36;Activity;708;34;100
36;Activity;708;22;100
36;Activity;708;20;100
36;Activity;709;267;100
36;Activity;709;257;100
36;Activity;709;255;100
36;Activity;709;229;100
36;Activity;709;227;100
36;Activity;709;202;100
36;Activity;709;200;100
36;Activity;709;199;100
36;Activity;709;197;100
36;Activity;709;195;100
36;Activity;709;194;100
36;Activity;709;180;100
36;Activity;709;119;100
36;Activity;709;90;100
36;Activity;709;87;100
36;Activity;709;77;100
36;Activity;709;66;100
36;Activity;709;53;100
36;Activity;709;47;100
36;Activity;709;42;100
36;Activity;709;40;100
36;Activity;709;39;100
36;Activity;709;34;100
36;Activity;709;22;100
36;Activity;709;20;100
36;Activity;710;267;100
36;Activity;710;257;100
36;Activity;710;255;100
36;Activity;710;229;100
36;Activity;710;227;100
36;Activity;710;202;100
36;Activity;710;200;100
36;Activity;710;199;100
36;Activity;710;197;100
36;Activity;710;195;100
36;Activity;710;194;100
36;Activity;710;180;100
36;Activity;710;119;100
36;Activity;710;90;100
36;Activity;710;87;100
36;Activity;710;77;100
36;Activity;710;66;100
36;Activity;710;53;100
36;Activity;710;47;100
36;Activity;710;42;100
36;Activity;710;40;100
36;Activity;710;39;100
36;Activity;710;34;100
36;Activity;710;22;100
36;Activity;710;20;100
37;Activity;717;267;100
37;Activity;717;257;100
37;Activity;717;255;100
37;Activity;717;229;100
37;Activity;717;227;100
37;Activity;717;202;100
37;Activity;717;200;100
37;Activity;717;199;100
37;Activity;717;197;100
37;Activity;717;195;100
37;Activity;717;194;100
37;Activity;717;180;100
37;Activity;717;119;100
37;Activity;717;90;100
37;Activity;717;87;100
37;Activity;717;77;100
37;Activity;717;66;100
37;Activity;717;53;100
37;Activity;717;47;100
37;Activity;717;42;100
37;Activity;717;40;100
37;Activity;717;39;100
37;Activity;717;34;100
37;Activity;717;22;100
37;Activity;717;20;100
37;Activity;718;267;100
37;Activity;718;257;100
37;Activity;718;255;100
37;Activity;718;229;100
37;Activity;718;227;100
37;Activity;718;202;100
37;Activity;718;200;100
37;Activity;718;199;100
37;Activity;718;197;100
37;Activity;718;195;100
37;Activity;718;194;100
37;Activity;718;180;100
37;Activity;718;119;100
37;Activity;718;90;100
37;Activity;718;87;100
37;Activity;718;77;100
37;Activity;718;66;100
37;Activity;718;53;100
37;Activity;718;47;100
37;Activity;718;42;100
37;Activity;718;40;100
37;Activity;718;39;100
37;Activity;718;34;100
37;Activity;718;22;100
37;Activity;718;20;100
37;Activity;719;267;100
37;Activity;719;257;100
37;Activity;719;255;100
37;Activity;719;229;100
37;Activity;719;227;100
37;Activity;719;202;100
37;Activity;719;200;100
37;Activity;719;199;100
37;Activity;719;197;100
37;Activity;719;195;100
37;Activity;719;194;100
37;Activity;719;180;100
37;Activity;719;119;100
37;Activity;719;90;100
37;Activity;719;87;100
37;Activity;719;77;100
37;Activity;719;66;100
37;Activity;719;53;100
37;Activity;719;47;100
37;Activity;719;42;100
37;Activity;719;40;100
37;Activity;719;39;100
37;Activity;719;34;100
37;Activity;719;22;100
37;Activity;719;20;100
37;Activity;720;267;100
37;Activity;720;257;100
37;Activity;720;255;100
37;Activity;720;229;100
37;Activity;720;227;100
37;Activity;720;202;100
37;Activity;720;200;100
37;Activity;720;199;100
37;Activity;720;197;100
37;Activity;720;195;100
37;Activity;720;194;100
37;Activity;720;180;100
37;Activity;720;119;100
37;Activity;720;90;100
37;Activity;720;87;100
37;Activity;720;77;100
37;Activity;720;66;100
37;Activity;720;53;100
37;Activity;720;47;100
37;Activity;720;42;100
37;Activity;720;40;100
37;Activity;720;39;100
37;Activity;720;34;100
37;Activity;720;22;100
37;Activity;720;20;100
37;Activity;721;267;100
37;Activity;721;257;100
37;Activity;721;255;100
37;Activity;721;229;100
37;Activity;721;227;100
37;Activity;721;202;100
37;Activity;721;200;100
37;Activity;721;199;100
37;Activity;721;197;100
37;Activity;721;195;100
37;Activity;721;194;100
37;Activity;721;180;100
37;Activity;721;119;100
37;Activity;721;90;100
37;Activity;721;87;100
37;Activity;721;77;100
37;Activity;721;66;100
37;Activity;721;53;100
37;Activity;721;47;100
37;Activity;721;42;100
37;Activity;721;40;100
37;Activity;721;39;100
37;Activity;721;34;100
37;Activity;721;22;100
37;Activity;721;20;100
37;Activity;722;267;100
37;Activity;722;257;100
37;Activity;722;255;100
37;Activity;722;229;100
37;Activity;722;227;100
37;Activity;722;202;100
37;Activity;722;200;100
37;Activity;722;199;100
37;Activity;722;197;100
37;Activity;722;195;100
37;Activity;722;194;100
37;Activity;722;180;100
37;Activity;722;119;100
37;Activity;722;90;100
37;Activity;722;87;100
37;Activity;722;77;100
37;Activity;722;66;100
37;Activity;722;53;100
37;Activity;722;47;100
37;Activity;722;42;100
37;Activity;722;40;100
37;Activity;722;39;100
37;Activity;722;34;100
37;Activity;722;22;100
37;Activity;722;20;100
37;Activity;723;267;100
37;Activity;723;257;100
37;Activity;723;255;100
37;Activity;723;229;100
37;Activity;723;227;100
37;Activity;723;202;100
37;Activity;723;200;100
37;Activity;723;199;100
37;Activity;723;197;100
37;Activity;723;195;100
37;Activity;723;194;100
37;Activity;723;180;100
37;Activity;723;119;100
37;Activity;723;90;100
37;Activity;723;87;100
37;Activity;723;77;100
37;Activity;723;66;100
37;Activity;723;53;100
37;Activity;723;47;100
37;Activity;723;42;100
37;Activity;723;40;100
37;Activity;723;39;100
37;Activity;723;34;100
37;Activity;723;22;100
37;Activity;723;20;100
37;Activity;724;267;100
37;Activity;724;257;100
37;Activity;724;255;100
37;Activity;724;229;100
37;Activity;724;227;100
37;Activity;724;202;100
37;Activity;724;200;100
37;Activity;724;199;100
37;Activity;724;197;100
37;Activity;724;195;100
37;Activity;724;194;100
37;Activity;724;180;100
37;Activity;724;119;100
37;Activity;724;90;100
37;Activity;724;87;100
37;Activity;724;77;100
37;Activity;724;66;100
37;Activity;724;53;100
37;Activity;724;47;100
37;Activity;724;42;100
37;Activity;724;40;100
37;Activity;724;39;100
37;Activity;724;34;100
37;Activity;724;22;100
37;Activity;724;20;100
37;Activity;725;267;100
37;Activity;725;257;100
37;Activity;725;255;100
37;Activity;725;229;100
37;Activity;725;227;100
37;Activity;725;202;100
37;Activity;725;200;100
37;Activity;725;199;100
37;Activity;725;197;100
37;Activity;725;195;100
37;Activity;725;194;100
37;Activity;725;180;100
37;Activity;725;119;100
37;Activity;725;90;100
37;Activity;725;87;100
37;Activity;725;77;100
37;Activity;725;66;100
37;Activity;725;53;100
37;Activity;725;47;100
37;Activity;725;42;100
37;Activity;725;40;100
37;Activity;725;39;100
37;Activity;725;34;100
37;Activity;725;22;100
37;Activity;725;20;100
37;Activity;726;267;100
37;Activity;726;257;100
37;Activity;726;255;100
37;Activity;726;229;100
37;Activity;726;227;100
37;Activity;726;202;100
37;Activity;726;200;100
37;Activity;726;199;100
37;Activity;726;197;100
37;Activity;726;195;100
37;Activity;726;194;100
37;Activity;726;180;100
37;Activity;726;119;100
37;Activity;726;90;100
37;Activity;726;87;100
37;Activity;726;77;100
37;Activity;726;66;100
37;Activity;726;53;100
37;Activity;726;47;100
37;Activity;726;42;100
37;Activity;726;40;100
37;Activity;726;39;100
37;Activity;726;34;100
37;Activity;726;22;100
37;Activity;726;20;100
37;Activity;727;267;100
37;Activity;727;257;100
37;Activity;727;255;100
37;Activity;727;229;100
37;Activity;727;227;100
37;Activity;727;202;100
37;Activity;727;200;100
37;Activity;727;199;100
37;Activity;727;197;100
37;Activity;727;195;100
37;Activity;727;194;100
37;Activity;727;180;100
37;Activity;727;119;100
37;Activity;727;90;100
37;Activity;727;87;100
37;Activity;727;77;100
37;Activity;727;66;100
37;Activity;727;53;100
37;Activity;727;47;100
37;Activity;727;42;100
37;Activity;727;40;100
37;Activity;727;39;100
37;Activity;727;34;100
37;Activity;727;22;100
37;Activity;727;20;100
37;Activity;728;267;100
37;Activity;728;257;100
37;Activity;728;255;100
37;Activity;728;229;100
37;Activity;728;227;100
37;Activity;728;202;100
37;Activity;728;200;100
37;Activity;728;199;100
37;Activity;728;197;100
37;Activity;728;195;100
37;Activity;728;194;100
37;Activity;728;180;100
37;Activity;728;119;100
37;Activity;728;90;100
37;Activity;728;87;100
37;Activity;728;77;100
37;Activity;728;66;100
37;Activity;728;53;100
37;Activity;728;47;100
37;Activity;728;42;100
37;Activity;728;40;100
37;Activity;728;39;100
37;Activity;728;34;100
37;Activity;728;22;100
37;Activity;728;20;100
37;Activity;729;267;100
37;Activity;729;257;100
37;Activity;729;255;100
37;Activity;729;229;100
37;Activity;729;227;100
37;Activity;729;202;100
37;Activity;729;200;100
37;Activity;729;199;100
37;Activity;729;197;100
37;Activity;729;195;100
37;Activity;729;194;100
37;Activity;729;180;100
37;Activity;729;119;100
37;Activity;729;90;100
37;Activity;729;87;100
37;Activity;729;77;100
37;Activity;729;66;100
37;Activity;729;53;100
37;Activity;729;47;100
37;Activity;729;42;100
37;Activity;729;40;100
37;Activity;729;39;100
37;Activity;729;34;100
37;Activity;729;22;100
37;Activity;729;20;100
37;Activity;730;267;100
37;Activity;730;257;100
37;Activity;730;255;100
37;Activity;730;229;100
37;Activity;730;227;100
37;Activity;730;202;100
37;Activity;730;200;100
37;Activity;730;199;100
37;Activity;730;197;100
37;Activity;730;195;100
37;Activity;730;194;100
37;Activity;730;180;100
37;Activity;730;119;100
37;Activity;730;90;100
37;Activity;730;87;100
37;Activity;730;77;100
37;Activity;730;66;100
37;Activity;730;53;100
37;Activity;730;47;100
37;Activity;730;42;100
37;Activity;730;40;100
37;Activity;730;39;100
37;Activity;730;34;100
37;Activity;730;22;100
37;Activity;730;20;100
37;Activity;731;267;100
37;Activity;731;257;100
37;Activity;731;255;100
37;Activity;731;229;100
37;Activity;731;227;100
37;Activity;731;202;100
37;Activity;731;200;100
37;Activity;731;199;100
37;Activity;731;197;100
37;Activity;731;195;100
37;Activity;731;194;100
37;Activity;731;180;100
37;Activity;731;119;100
37;Activity;731;90;100
37;Activity;731;87;100
37;Activity;731;77;100
37;Activity;731;66;100
37;Activity;731;53;100
37;Activity;731;47;100
37;Activity;731;42;100
37;Activity;731;40;100
37;Activity;731;39;100
37;Activity;731;34;100
37;Activity;731;22;100
37;Activity;731;20;100
37;Activity;732;267;100
37;Activity;732;257;100
37;Activity;732;255;100
37;Activity;732;229;100
37;Activity;732;227;100
37;Activity;732;202;100
37;Activity;732;200;100
37;Activity;732;199;100
37;Activity;732;197;100
37;Activity;732;195;100
37;Activity;732;194;100
37;Activity;732;180;100
37;Activity;732;119;100
37;Activity;732;90;100
37;Activity;732;87;100
37;Activity;732;77;100
37;Activity;732;66;100
37;Activity;732;53;100
37;Activity;732;47;100
37;Activity;732;42;100
37;Activity;732;40;100
37;Activity;732;39;100
37;Activity;732;34;100
37;Activity;732;22;100
37;Activity;732;20;100
